Código,Cantidad,Nombre del Producto,Categoria
CO6263,5,ANALOGICO JOYSTICK REPUESTO PS4 PS5 XBOX ONE,Repuesto Joystick
CO8132,1,ROUTER TP-LINK TL-WR850N WISP 2 ANTENAS 2.5DBI 300MBPS,Router
CO947,2,"RECEPTOR BT BLUETOOTH USB 5,0",Receptor
CO949,1,EXTENSOR / REPETIDOR KANJI KJN-RP4200B 4 ANTENAS,Conectividad
CO958,1,REPETIDOR WIFI 2 ANTENAS DINAX / REPRP4200C,Conectividad
CO959,1,SWITCH TP-LINK 8 PUERTOS 10/100 TL-SF1008D SERIE LITEWAVE,Conectividad
CO960,1,RECEPTOR BLUETOOTH DOBLE SALIDA ESTEREO SEISA / BLS-BT01,Receptor
CO969,4,TP LINK EXTENSOR DE RANGO WIFI AC750/RE200,Conectividad
CO970,1,TP LINK EXTENSOR DE RANGO WIFI 300MBPS MERCUSYS MW300RE,Conectividad
CP01-20-002,1,CABLE TIPO C 3.0 PARA DISCO RIGIDO EXTERNO CP01-20-002,Cable
CP01-20-006,3,ADAPTADOR OTG TIPO C / USB3.0  CP01-20-006,Adaptador
Cb-53,0,CABLE USB TYPE C 5A TURBO IBEK CB-53,Cable
D1014,8,"CABLE USB ONLY MOD48 / V8 / 3,1A BLANCO Y NEGRO 110716401",Cable
DI11611,1,ADAPTADOR CARRY CASE PARA DISCO SSD M.2 NVME - USB 3.1 USB-C,Adaptador
DI11612,2,CASE CARRY DISK 3.0 2.5 ALUMINIO SATA USB 5GBPS DN-K2507,Accesorio Disco
DI1242,1,DISCO SOLIDO SSD 256GB PATRIOT P210 SATA3 2.5,Disco
DI1250,3,CASE DISCO 2.5 SEISA  DN-K230 USB3.0 EXTERNAL ENCLOSURE,Accesorio Disco
EL1315,3,ESTABILIZADOR DE TENSION ATOMLUX R500@ 220V 6 TOMAS 500VA,Estabilizador
EL1316,1,ESTABILIZADOR DE TENSION ATOMLUX H500 3 TOMAS 220V,Estabilizador
EL1318,0,ESTABILIZADOR SURELECTRIC FUTURE 6 BOCAS 220V-1000VA (490017),Estabilizador
F390,2,FLEX INTERCONEXION SAM A51,Conector
F394,1,FLEX INTERCONEXION SAM A21S,Conector
